,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Female,Gender_Male,Customer_Type,Business,Class_level,label
35,39,369,5,3,5,3,5,5,5,5,2,4,3,3,3,5,0,0.0,1,0,1,0.0,1,1
36,25,489,1,4,1,2,3,1,3,3,3,4,2,2,5,3,0,0.0,1,0,1,0.0,1,0
37,27,460,2,3,2,1,2,2,2,2,2,4,2,3,4,2,0,0.0,1,0,1,0.0,2,0
38,35,444,0,4,0,3,2,0,2,2,5,4,4,4,5,2,2,3.0,0,1,1,0.0,1,1
39,42,696,0,5,0,2,3,0,3,3,3,4,4,3,5,3,10,0.0,0,1,1,0.0,1,1
40,43,679,4,5,4,2,2,4,4,2,2,4,2,3,2,4,0,0.0,1,0,1,0.0,2,1
41,42,236,4,1,4,2,2,2,2,1,1,4,1,2,1,2,3,2.0,1,0,1,0.0,1,1
42,65,601,2,2,1,4,3,1,3,3,1,4,4,2,4,3,0,0.0,0,1,1,0.0,1,0
43,37,696,5,4,5,4,2,5,2,2,3,2,4,3,4,2,0,0.0,0,1,1,0.0,1,1
44,29,666,2,5,2,1,2,2,1,2,5,3,1,1,2,2,0,0.0,0,1,1,0.0,1,0
45,45,1416,3,5,3,5,5,5,4,2,2,3,2,3,2,5,0,0.0,1,0,1,0.0,2,0
46,7,762,3,2,3,3,5,3,5,5,1,2,4,4,4,5,0,0.0,1,0,1,0.0,1,0
47,22,694,2,5,2,3,4,2,4,4,4,3,4,5,4,4,11,0.0,0,1,1,0.0,1,0
48,58,2402,4,5,4,2,4,3,3,5,2,4,4,3,3,3,3,0.0,0,1,1,0.0,1,1
49,12,590,5,4,5,4,2,5,3,2,5,5,5,4,4,2,29,14.0,1,0,1,0.0,1,1
50,33,425,4,0,4,1,5,4,5,5,3,5,5,3,4,5,10,3.0,0,1,1,0.0,1,0
51,70,296,2,5,2,1,5,5,5,3,3,2,3,4,3,5,1,13.0,1,0,1,0.0,1,0
52,48,1089,1,3,1,4,2,4,1,5,5,1,4,4,5,4,13,0.0,1,0,1,0.0,1,0
53,18,358,4,2,4,3,1,4,1,1,4,2,4,3,4,1,20,1.0,1,0,1,0.0,1,0
54,63,511,0,5,0,4,3,5,5,5,5,0,5,4,5,5,4,3.0,0,1,1,0.0,2,1
55,14,1127,4,4,4,2,5,4,3,5,5,2,5,4,5,5,0,3.0,0,1,1,0.0,1,1
56,26,1751,2,4,2,3,2,2,2,2,3,4,5,1,3,2,9,0.0,0,1,1,0.0,1,0
57,53,546,4,2,4,2,3,3,2,3,3,4,4,2,3,1,15,4.0,1,0,1,0.0,1,1
58,55,1024,3,4,3,3,2,4,5,5,5,3,5,3,5,4,0,0.0,1,0,1,0.0,1,0
59,40,650,5,4,5,3,3,5,3,3,5,1,3,3,2,3,0,0.0,0,1,1,0.0,1,1
60,40,337,0,5,0,4,2,4,4,4,4,0,4,5,4,4,129,119.0,1,0,1,0.0,2,1
61,64,321,4,3,4,3,5,3,4,2,2,4,3,2,2,1,0,0.0,1,0,1,0.0,1,1
62,55,420,2,2,2,3,2,2,2,2,2,1,4,2,4,2,2,19.0,0,1,1,0.0,1,0
63,12,1390,4,4,4,4,4,4,4,4,4,5,3,4,3,4,0,0.0,1,0,1,0.0,1,1
64,25,888,2,5,2,1,1,2,1,1,5,5,5,3,4,1,25,3.0,1,0,1,0.0,1,0
65,13,602,2,4,2,3,5,2,2,5,4,3,5,4,4,5,19,8.0,1,0,1,0.0,1,0
66,52,712,5,4,5,4,1,5,1,1,1,4,2,5,4,1,0,0.0,0,1,1,0.0,1,1
67,48,493,3,4,3,3,3,5,5,5,5,3,4,3,5,3,2,0.0,0,1,1,0.0,2,0
68,23,749,5,4,5,1,1,5,1,1,4,4,5,4,5,1,0,0.0,0,1,1,0.0,2,1
69,38,482,3,4,3,3,1,3,1,1,1,5,2,4,1,1,33,27.0,1,0,1,0.0,0,0
70,21,590,2,4,2,4,4,2,4,4,4,2,3,3,3,4,0,13.0,1,0,1,0.0,2,0
71,68,370,0,2,0,4,4,0,4,4,3,2,3,2,3,4,0,0.0,0,1,1,0.0,1,1
72,40,140,4,5,0,1,3,0,3,3,4,1,2,2,1,3,82,107.0,0,1,1,0.0,1,0
73,60,337,1,5,1,4,4,3,5,3,3,1,3,4,3,1,0,0.0,1,0,1,0.0,1,0
74,39,325,3,1,3,4,3,3,3,3,2,1,4,4,4,3,2,0.0,0,1,1,0.0,1,0
75,12,601,5,5,5,1,1,5,1,1,5,2,3,5,1,1,0,0.0,0,1,1,0.0,0,1
76,35,288,4,4,4,4,3,4,3,3,5,3,4,4,5,3,0,0.0,1,0,1,0.0,1,1
77,36,422,5,2,5,3,4,2,2,4,4,5,4,4,4,4,0,8.0,0,1,1,0.0,2,1
78,43,321,2,1,2,3,2,2,2,4,4,2,4,1,4,3,0,0.0,1,0,1,0.0,1,0
79,14,325,5,1,5,3,2,5,2,2,1,1,4,2,3,2,4,0.0,1,0,1,0.0,1,1
80,8,606,5,5,5,1,2,5,2,2,4,5,4,5,5,2,102,97.0,0,1,1,0.0,1,1
81,63,589,4,5,4,2,5,4,5,5,4,3,5,5,4,5,0,0.0,0,1,1,0.0,1,1
82,14,557,4,2,4,4,1,4,1,1,4,3,3,2,4,1,92,86.0,0,1,1,0.0,1,1
83,43,1062,4,3,4,4,1,4,3,4,4,4,4,5,4,1,0,0.0,1,0,1,0.0,1,1
84,16,305,1,4,1,3,1,1,1,1,1,1,2,2,5,1,2,0.0,0,1,1,0.0,1,0
85,31,1616,3,4,3,3,2,3,1,2,3,5,4,4,5,2,0,0.0,0,1,1,0.0,1,0
86,39,522,3,4,3,4,4,3,3,4,4,2,4,5,4,4,0,0.0,1,0,1,0.0,1,0
87,29,1500,2,4,2,3,2,2,2,2,5,5,5,4,5,2,0,0.0,1,0,1,0.0,2,0
88,41,957,3,5,3,4,3,3,3,3,3,3,5,5,5,3,0,0.0,1,0,1,0.0,1,0
89,11,2176,3,4,3,3,3,3,3,3,2,4,5,5,5,3,37,32.0,0,1,1,0.0,1,0
90,46,1733,4,5,4,3,4,4,4,4,4,2,4,4,4,4,7,0.0,0,1,1,0.0,1,1
91,44,332,4,5,4,3,4,5,4,3,3,4,3,4,3,4,16,3.0,1,0,1,0.0,1,0
92,68,554,3,4,3,5,4,3,4,4,5,2,4,4,5,4,7,0.0,0,1,1,0.0,1,0
93,32,821,4,4,4,4,5,4,5,5,2,5,4,2,3,5,0,0.0,1,0,1,0.0,2,1
94,19,1747,4,1,4,4,2,4,2,2,3,1,3,4,4,2,0,0.0,1,0,1,0.0,1,1
95,70,1121,3,5,3,1,1,3,2,1,5,4,4,5,5,1,12,24.0,0,1,1,0.0,1,0
96,52,1849,5,4,5,1,4,5,1,3,3,5,3,2,3,4,0,0.0,1,0,1,0.0,0,1
97,64,719,3,4,2,4,5,4,4,3,3,2,2,5,3,3,50,23.0,1,0,1,0.0,1,0
98,15,2139,4,4,4,1,1,4,1,1,3,3,4,5,4,1,0,0.0,0,1,1,0.0,2,1
99,65,500,5,4,5,3,2,1,4,5,5,5,5,2,5,4,13,2.0,1,0,1,0.0,1,1
100,42,737,2,4,2,2,4,4,5,4,4,2,4,3,4,5,60,52.0,1,0,1,0.0,0,0
101,25,1670,3,3,3,1,3,3,3,3,5,2,4,5,4,3,2,6.0,1,0,1,0.0,0,0
102,12,2454,4,1,4,3,5,4,5,5,4,5,2,1,2,5,15,0.0,0,1,1,0.0,1,0
103,19,853,3,1,3,3,5,3,5,5,3,5,4,4,4,5,0,0.0,1,0,1,0.0,1,0
104,61,302,0,4,0,1,5,0,4,5,4,3,3,5,5,5,7,0.0,0,1,1,0.0,1,1
105,51,599,5,4,5,3,3,5,3,3,2,4,4,1,5,3,0,0.0,0,1,1,0.0,1,1
106,14,1065,2,5,2,4,2,2,2,2,5,3,4,3,5,2,66,36.0,1,0,1,0.0,2,0
107,48,1105,2,2,2,2,3,2,3,3,4,2,3,1,2,3,0,0.0,0,1,1,0.0,1,0
108,25,1379,3,3,3,3,3,3,4,3,4,3,1,5,1,3,6,0.0,1,0,1,0.0,0,0
109,35,1839,5,4,5,2,4,5,4,4,4,4,3,3,5,4,0,2.0,0,1,1,0.0,0,1
110,57,220,4,1,4,1,2,2,2,2,2,4,2,4,2,2,9,0.0,1,0,1,0.0,1,1
111,43,190,4,5,4,2,4,4,4,4,3,4,4,5,5,4,0,0.0,0,1,1,0.0,1,1
112,21,1990,0,2,0,3,5,2,5,5,3,1,3,2,4,5,27,8.0,1,0,1,0.0,0,1
113,30,177,4,4,4,3,2,4,5,2,5,4,5,4,5,2,14,7.0,0,1,1,0.0,1,1
114,69,551,0,4,0,4,5,3,4,5,5,0,5,4,5,1,4,0.0,1,0,1,0.0,0,1
115,35,158,0,4,0,1,4,0,4,4,5,4,5,3,5,4,0,0.0,0,1,1,0.0,1,1
116,21,1521,2,3,2,3,2,5,5,2,5,1,3,5,2,5,139,151.0,1,0,1,0.0,1,0
117,56,372,3,2,3,3,4,3,1,4,3,2,4,1,3,4,0,0.0,0,1,1,0.0,1,0
118,28,925,4,4,4,3,5,4,2,5,4,1,4,2,5,5,5,5.0,0,1,1,0.0,0,1
119,55,666,5,4,5,1,3,4,4,4,4,5,4,3,4,5,8,2.0,1,0,1,0.0,1,1
120,28,580,3,4,3,3,2,3,2,2,4,4,3,3,3,2,0,2.0,0,1,1,0.0,1,0
121,25,1262,1,4,1,2,2,1,2,2,3,2,4,5,5,2,6,19.0,0,1,1,0.0,1,0
122,51,1073,1,1,2,4,2,2,3,2,3,2,3,2,4,2,19,0.0,0,1,1,0.0,1,0
123,7,372,0,1,0,3,3,0,3,3,2,2,4,3,4,3,0,0.0,1,0,1,0.0,1,1
124,21,319,5,3,5,3,2,5,5,2,1,1,3,1,3,2,28,20.0,1,0,1,0.0,1,1
125,68,1182,5,5,5,3,5,5,5,5,2,5,4,5,1,5,14,0.0,0,1,1,0.0,1,1
126,43,451,5,4,5,2,2,5,5,4,4,5,4,4,4,3,0,0.0,1,0,1,0.0,1,1
127,65,184,4,1,4,3,4,4,4,4,3,1,4,3,4,4,0,0.0,0,1,1,0.0,1,0
128,13,2486,4,1,4,3,4,4,4,4,4,5,4,4,4,4,0,0.0,0,1,1,0.0,1,1
129,45,759,4,5,4,4,3,4,3,3,5,1,2,3,3,3,0,0.0,0,1,1,0.0,1,0
130,46,604,2,2,2,4,2,2,2,2,2,3,4,4,3,2,46,36.0,0,1,1,0.0,1,0
131,34,283,4,5,4,2,4,4,4,4,5,4,5,3,4,4,20,16.0,0,1,1,0.0,1,1
132,51,387,1,5,1,1,4,4,1,3,3,1,3,2,3,4,0,0.0,0,1,1,0.0,2,0
133,7,1182,3,5,2,2,1,2,1,1,4,5,5,3,4,1,0,0.0,0,1,1,0.0,1,0
134,34,391,2,5,2,3,5,2,5,5,4,5,5,5,4,5,0,0.0,0,1,1,0.0,1,0
135,52,476,2,4,4,3,1,2,4,1,1,4,1,5,1,4,8,0.0,0,1,1,0.0,2,0
136,33,290,0,5,0,3,4,0,4,4,5,5,4,3,4,4,9,4.0,0,1,1,0.0,0,1
137,35,431,1,2,1,4,3,1,1,3,2,1,3,2,3,3,0,0.0,1,0,1,0.0,1,0
138,27,288,0,5,0,3,2,0,2,2,3,2,4,5,4,2,16,0.0,0,1,1,0.0,1,1
139,55,867,2,4,2,4,1,2,1,1,4,3,2,4,4,1,0,0.0,0,1,1,0.0,1,0
140,25,158,3,2,3,3,2,3,2,2,1,1,3,1,3,2,92,96.0,0,1,1,0.0,1,0
141,45,1027,4,5,3,3,3,5,4,2,2,3,2,5,2,5,0,0.0,1,0,1,0.0,1,0
142,57,192,2,4,2,4,2,2,2,2,5,4,4,3,5,2,26,24.0,0,1,1,0.0,1,0
143,18,822,4,4,4,3,5,4,5,5,3,3,5,5,5,5,4,3.0,1,0,1,0.0,1,1
144,14,1460,5,5,5,1,4,5,4,4,5,2,5,4,5,4,0,19.0,1,0,1,0.0,2,1
145,22,1972,4,4,4,1,3,4,3,3,3,3,3,4,4,3,0,2.0,0,1,1,0.0,1,1
146,39,1010,5,5,5,4,2,5,2,2,5,5,3,2,4,2,0,0.0,1,0,1,0.0,1,1
147,20,109,4,4,4,3,5,4,5,5,3,5,5,5,5,5,26,32.0,1,0,1,0.0,1,1
148,59,1015,4,0,4,5,4,4,4,3,3,4,3,3,3,4,0,0.0,1,0,1,0.0,1,1
149,53,250,4,5,4,3,5,5,4,3,3,4,3,3,3,4,68,61.0,1,0,1,0.0,1,0
150,50,432,3,3,2,3,1,3,5,2,2,2,4,2,2,5,0,21.0,1,0,1,0.0,1,0
151,31,860,1,4,1,4,1,1,1,1,3,4,4,4,5,1,0,0.0,0,1,1,0.0,1,0
152,66,735,5,5,5,1,5,5,5,5,4,4,4,5,5,5,0,0.0,0,1,1,0.0,1,1
153,60,328,2,5,2,5,1,2,1,1,2,4,5,4,3,1,0,4.0,0,1,1,0.0,1,0
154,42,983,4,5,3,4,3,1,2,5,5,3,5,3,5,2,0,0.0,1,0,1,0.0,1,1
155,35,775,4,4,4,3,2,4,4,2,5,4,4,4,5,2,61,65.0,1,0,1,0.0,1,0
156,12,1450,2,2,2,2,1,2,1,1,3,5,2,3,3,1,0,0.0,0,1,1,0.0,1,0
157,38,679,3,4,3,3,1,3,1,1,2,2,4,1,4,1,104,123.0,1,0,1,0.0,1,0
158,34,2106,4,2,4,4,2,4,2,2,4,1,3,4,4,2,4,0.0,0,1,1,0.0,1,1
159,28,542,4,2,4,3,3,4,3,3,4,2,3,2,3,3,0,0.0,1,0,1,0.0,0,1
160,25,481,0,1,0,3,2,0,2,2,1,4,4,4,3,2,0,0.0,1,0,1,0.0,1,1
161,19,852,5,4,5,1,5,5,5,5,3,5,5,4,5,5,0,11.0,0,1,1,0.0,1,1
162,54,1005,4,4,4,3,1,4,1,1,4,5,5,5,5,1,0,0.0,0,1,1,0.0,1,1
163,36,341,5,5,5,1,5,4,4,2,2,5,2,4,2,4,0,0.0,1,0,1,0.0,2,1
164,19,1428,4,1,4,3,3,4,3,3,2,2,2,4,3,3,10,0.0,0,1,1,0.0,1,1
165,53,404,1,2,1,4,4,1,4,4,4,2,3,4,3,4,0,0.0,0,1,1,0.0,1,0
166,54,1017,4,3,4,4,2,3,3,5,5,4,5,3,5,2,0,0.0,1,0,1,0.0,0,1
167,48,576,1,5,1,1,4,4,5,3,3,1,3,3,3,4,0,15.0,1,0,1,0.0,1,0
168,25,1947,4,4,4,4,1,4,1,1,4,4,4,5,5,1,0,0.0,0,1,1,0.0,1,1
169,44,429,3,1,3,3,1,3,2,2,2,3,2,4,2,1,0,0.0,1,0,1,0.0,1,0
170,30,270,4,4,4,5,2,4,5,2,4,5,5,5,5,2,0,0.0,0,1,1,0.0,1,1
171,27,1258,4,5,4,3,3,4,4,3,3,5,5,5,4,3,5,0.0,0,1,1,0.0,1,1
172,66,696,4,2,4,2,3,2,2,2,2,4,2,3,2,3,31,62.0,1,0,1,0.0,0,1
173,12,2125,5,1,5,3,2,5,2,2,3,3,3,1,4,2,37,21.0,0,1,1,0.0,1,1
174,31,354,3,1,3,3,4,3,4,4,3,3,4,2,4,4,0,0.0,0,1,1,0.0,1,0
175,19,1927,3,4,3,5,2,3,2,2,3,3,4,4,5,2,8,0.0,1,0,1,0.0,1,0
176,14,1172,4,4,4,3,1,4,1,1,5,2,3,3,4,1,0,0.0,0,1,1,0.0,0,1
177,34,1919,1,4,1,2,3,1,5,3,5,5,5,4,4,3,0,0.0,0,1,1,0.0,1,0
178,34,872,0,3,0,3,1,0,1,1,1,3,3,1,4,1,0,0.0,0,1,1,0.0,1,1
179,15,155,2,5,2,5,1,2,1,1,5,1,3,5,4,1,0,12.0,0,1,1,0.0,1,0
180,64,1609,4,2,4,4,5,4,3,5,5,4,5,1,5,3,30,0.0,1,0,1,0.0,1,1
181,26,842,0,5,0,1,4,0,4,4,3,3,5,4,3,4,12,0.0,1,0,1,0.0,1,1
182,11,964,3,3,2,3,5,2,5,5,4,1,3,3,3,5,14,0.0,0,1,1,0.0,1,0
183,34,689,3,4,3,3,2,3,2,2,1,5,2,1,2,2,5,0.0,0,1,1,0.0,1,0
184,21,731,2,4,2,1,5,2,5,5,5,3,2,3,1,5,7,0.0,1,0,1,0.0,1,0
185,12,1416,4,1,4,2,1,4,1,1,4,3,2,2,3,1,0,0.0,1,0,1,0.0,1,1
186,69,159,3,5,3,3,2,5,4,3,3,3,1,4,3,3,11,10.0,1,0,1,0.0,1,0
187,63,473,4,4,4,2,5,1,1,1,1,4,1,4,1,4,0,0.0,1,0,1,0.0,1,0
188,17,224,3,5,3,5,4,3,4,4,4,4,4,5,4,4,58,49.0,0,1,1,0.0,1,0
189,7,1276,4,4,4,2,3,4,3,3,3,5,5,4,4,3,0,0.0,0,1,1,0.0,1,1
190,64,931,2,5,2,3,3,4,4,3,3,2,3,5,3,4,0,0.0,1,0,1,0.0,1,0
191,19,337,4,5,4,4,2,4,1,2,4,2,4,3,4,2,8,4.0,1,0,1,0.0,1,1
192,14,599,4,5,4,5,3,4,3,3,3,2,5,1,1,3,0,0.0,0,1,1,0.0,1,0
193,37,1598,4,4,4,3,5,4,5,5,4,4,4,4,4,5,0,0.0,0,1,1,0.0,0,1
194,41,1180,4,4,4,4,5,4,5,5,3,2,3,5,5,5,0,0.0,1,0,1,0.0,1,0
195,57,1969,2,3,2,3,1,2,1,1,1,5,3,2,4,1,11,3.0,0,1,1,0.0,1,0
196,70,190,3,3,3,4,2,4,3,2,2,3,2,1,2,3,1,3.0,1,0,1,0.0,1,0
197,43,2521,5,2,5,2,5,1,1,3,4,1,3,1,1,1,60,51.0,0,1,1,0.0,2,1
198,12,1562,0,4,0,1,2,0,2,2,1,4,5,3,4,2,12,0.0,0,1,1,0.0,0,1
199,68,143,1,5,1,2,5,4,4,2,2,1,2,3,2,2,0,0.0,1,0,1,0.0,1,0
200,54,2139,5,4,5,2,3,4,4,2,2,5,4,4,2,5,3,0.0,1,0,1,0.0,1,1
201,34,1091,0,3,0,4,1,0,2,1,2,5,3,1,3,1,0,2.0,0,1,1,0.0,0,1
202,54,484,4,0,4,4,5,4,5,4,4,4,5,3,4,4,0,0.0,1,0,1,0.0,1,1
203,65,391,5,1,5,3,3,5,3,3,3,1,3,2,4,3,0,0.0,0,1,1,0.0,1,1
204,64,1660,2,5,2,3,5,2,5,5,3,2,5,3,5,5,0,44.0,0,1,1,0.0,1,0
205,70,2556,5,1,5,4,5,2,4,3,3,5,3,1,3,3,1,0.0,0,1,1,0.0,2,1
206,67,204,5,4,5,4,5,3,3,3,3,5,3,4,3,1,0,3.0,1,0,1,0.0,1,1
207,29,907,2,5,2,4,2,2,2,2,5,5,5,3,4,2,0,1.0,1,0,1,0.0,1,0
208,31,1044,4,3,4,5,3,4,4,3,1,5,2,5,5,3,31,32.0,1,0,1,0.0,1,1
209,44,77,3,4,3,2,4,4,5,5,5,3,5,3,5,5,38,30.0,1,0,1,0.0,1,0
210,46,759,2,4,2,3,3,5,5,4,4,2,4,4,4,4,0,0.0,1,0,1,0.0,1,0
211,29,545,3,5,3,3,5,3,5,5,2,2,5,5,2,5,0,0.0,1,0,1,0.0,1,0
212,10,2677,2,5,2,1,3,2,3,3,5,1,3,3,3,3,0,0.0,1,0,1,0.0,1,0
213,24,2133,2,4,2,4,5,2,5,5,3,3,4,2,3,5,0,0.0,1,0,1,0.0,1,0
214,46,2504,2,1,2,2,3,3,3,3,3,2,3,3,3,3,0,0.0,1,0,1,0.0,1,0
215,41,545,5,3,5,2,4,3,2,1,1,5,1,1,1,3,0,1.0,1,0,1,0.0,0,1
216,68,1037,4,5,4,5,1,4,1,1,4,3,5,5,4,1,0,0.0,0,1,1,0.0,1,0
217,12,500,3,4,3,3,5,3,5,5,3,2,4,5,4,5,0,7.0,0,1,1,0.0,1,0
218,20,505,4,4,3,3,3,3,5,3,3,3,4,4,4,3,0,8.0,1,0,1,0.0,2,1
219,37,764,1,4,1,3,4,1,4,4,5,5,4,5,4,4,0,0.0,0,1,1,0.0,1,0
220,70,2075,4,4,5,3,5,3,4,2,2,5,2,4,2,1,0,0.0,1,0,1,0.0,1,1
221,16,486,4,2,4,4,2,4,2,2,4,2,3,1,3,2,30,17.0,0,1,1,0.0,1,1
222,58,993,1,4,1,5,4,1,4,4,3,2,5,5,5,4,0,0.0,0,1,1,0.0,1,0
223,54,447,3,4,3,3,3,5,5,3,3,3,4,3,3,4,42,43.0,1,0,1,0.0,1,0
224,12,1091,1,5,1,3,1,1,1,1,5,5,4,4,3,1,0,1.0,1,0,1,0.0,1,0
225,16,666,1,5,1,4,1,1,1,1,4,3,5,5,4,1,0,0.0,1,0,1,0.0,2,0
226,8,373,4,3,2,4,4,2,4,4,2,3,3,3,4,4,102,94.0,1,0,1,0.0,1,0
227,41,2342,5,3,5,5,5,1,1,3,2,3,3,1,4,1,1,3.0,0,1,1,0.0,1,1
228,54,936,4,5,4,1,3,4,4,3,3,4,4,3,3,5,58,42.0,1,0,1,0.0,1,1
229,38,297,4,2,4,4,5,4,5,5,3,4,3,4,3,5,0,0.0,0,1,1,0.0,1,1
230,65,2300,3,3,3,4,2,5,4,3,3,3,3,1,3,5,0,0.0,1,0,1,0.0,1,0
231,64,964,4,4,4,3,5,4,5,5,3,3,5,5,4,5,0,0.0,0,1,1,0.0,1,1
232,29,733,5,4,5,4,5,5,5,5,5,1,2,2,5,5,3,0.0,1,0,1,0.0,1,1
233,34,1754,0,4,0,4,2,0,2,2,3,1,4,3,3,2,0,0.0,1,0,1,0.0,1,1
234,14,787,1,3,1,1,5,1,2,5,2,1,1,5,5,5,3,23.0,0,1,1,0.0,0,0
235,55,775,0,5,0,1,3,5,4,3,3,0,3,4,3,3,0,5.0,1,0,1,0.0,0,1
236,65,1389,5,1,5,4,4,5,4,4,1,5,3,1,4,4,2,0.0,0,1,1,0.0,1,1
237,68,1979,5,3,5,3,4,4,1,5,5,5,4,5,5,2,0,0.0,1,0,1,0.0,1,1
238,24,239,1,5,1,4,4,1,4,4,5,4,5,4,4,4,32,20.0,1,0,1,0.0,1,0
239,22,135,0,0,0,3,2,0,2,2,2,4,5,3,4,2,30,26.0,0,1,1,0.0,1,1
240,27,326,1,3,1,5,4,1,2,4,3,3,1,4,2,4,0,37.0,0,1,1,0.0,0,0
241,37,1846,0,4,0,3,3,0,2,3,4,4,5,2,3,3,8,0.0,0,1,1,0.0,1,1
242,32,711,1,3,1,3,1,1,1,1,5,3,3,5,2,1,17,73.0,0,1,1,0.0,1,0
243,32,441,2,1,2,3,3,2,4,3,2,2,3,1,3,3,0,0.0,0,1,1,0.0,1,0
244,51,325,5,5,5,3,3,1,4,2,2,5,2,3,2,1,0,0.0,1,0,1,0.0,1,1
245,24,113,5,1,0,2,1,0,1,1,4,5,2,1,2,1,0,0.0,0,1,1,0.0,1,1
246,48,247,5,5,5,1,3,5,4,3,3,5,3,4,3,4,27,32.0,0,1,1,0.0,2,1
247,36,399,2,5,2,4,3,2,3,3,5,3,4,4,4,3,0,0.0,1,0,1,0.0,1,0
248,7,481,4,5,4,3,1,4,1,1,1,5,2,2,2,1,2,0.0,1,0,1,0.0,1,1
249,13,888,2,2,2,3,4,2,4,4,1,4,3,3,3,4,7,1.0,1,0,1,0.0,2,0
250,67,2611,3,5,2,3,2,3,3,4,3,5,4,3,4,3,49,43.0,1,0,1,0.0,1,0
